Sıra No;İngilizce;Türkçe
1;I;ben
2;you;sen
3;he;o (erkek)
4;she;o (kadın)
5;it;o (cansız/hayvan)
6;we;biz
7;they;onlar
8;my;benim
9;your;senin
10;his;onun (erkek)
11;her;onun (kadın)
12;their;onların
13;our;bizim
14;this;bu
15;that;şu
16;these;bunlar
17;those;şunlar
18;mother;anne
19;father;baba
20;sister;kız kardeş
21;brother;erkek kardeş
22;uncle;amca, dayı
23;aunt;teyze, hala
24;cousin;kuzen
25;grandfather;büyükbaba
26;grandmother;büyükanne
27;baby;bebek
28;child;çocuk, evlat
29;children;çocuklar
30;kid;çocuk, ufaklık
31;son;oğul
32;friend;arkadaş
33;boy;erkek çocuk
34;girl;kız çocuk
35;man;erkek
36;woman;kadın
37;men;erkekler
38;women;kadınlar
39;girlfriend;kız arkadaş
40;boyfriend;erkek arkadaş
41;lover, beloved;sevgili, aşık
42;classmate;sınıf arkadaşı
43;bestfriend;en iyi arkadaş
44;married;evli
45;engaged;nişanlı
46;single;bekar
47;wife;kadın eş (karı)
48;husband;erkek eş (koca)
49;book;kitap
50;notebook;not defteri
51;pencil;kalem
52;eraser;silgi
53;paper;kağıt
54;school;okul
55;classroom;sınıf
56;student;öğrenci
57;teacher;öğretmen
58;desk;masa (sıra)
59;table;masa
60;lesson;ders
61;break;teneffüs
62;blackboard;tahta
63;homework;ödev
64;exam;sınav
65;note;not
66;university;üniversite
67;high school;lise
68;primary school;ilkokul
69;kindergarden;anaokulu
70;house;ev
71;home;ev (yuva)
72;room;oda
73;bedroom;yatak odası
74;kitchen;mutfak
75;bathroom;banyo
76;door;kapı
77;toilet;tuvalet
78;floor;zemin
79;window;pencere
80;cabinet;dolap
81;elevator;asansör
82;wardrobe;gardırop
83;key;anahtar
84;carpet;halı
85;chair;koltuk, sandalye
86;go;gitmek
87;come;gelmek
88;swim;yüzmek
89;play;oynamak
90;dance;dans etmek
91;sit (sit down);oturmak
92;speak;konuşmak
93;talk;konuşmak
94;say;söylemek
95;study;ders çalışmak
96;work;çalışmak
97;help;yardım etmek
98;stop;durmak
99;start;başlamak
100;begin;başlamak
101;finish;bitirmek
102;show;göstermek
103;change;değiştirmek, değişiklik
104;invite;davet etmek, çağırmak
105;do;yapmak
106;make;yapmak
107;look;bakmak
108;cry;ağlamak
109;fly;uçmak
110;see;görmek
111;call;çağırmak, telefon etmek
112;win;kazanmak
113;give;vermek
114;take;almak
115;get;almak, edinmek
116;buy;satın almak
117;sell;satmak
118;send;göndermek
119;garden;bahçe
120;flower;çiçek
121;tree;ağaç
122;forest;orman
123;roof;çatı
124;soap;sabun
125;towel;havlu
126;car;araba
127;bus;otobüs
128;bus stop;otobüs durağı
129;accident;kaza
130;bicycle;bisiklet
131;bike;bisiklet
